rok,pohlavi,vek_kod,vek_nazev,okres_lau_kod,okres_nazev,kraj_nuts_kod,kraj_nazev,pocet_vysetrenych,populace
2010,Z,66030034,30–34 let,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj,2499,4676
2010,Z,66030034,30–34 let,CZ0413,Sokolov,CZ041,Karlovarský kraj,1915,3489
2010,Z,66030034,30–34 let,CZ0421,Děčín,CZ042,Ústecký kraj,2670,5142
2010,Z,66030034,30–34 let,CZ0422,Chomutov,CZ042,Ústecký kraj,2878,5076
2010,Z,66030034,30–34 let,CZ0423,Litoměřice,CZ042,Ústecký kraj,3061,4846
2010,Z,66030034,30–34 let,CZ0424,Louny,CZ042,Ústecký kraj,1887,3419
2010,Z,66030034,30–34 let,CZ0425,Most,CZ042,Ústecký kraj,2459,4536
2010,Z,66030034,30–34 let,CZ0426,Teplice,CZ042,Ústecký kraj,2591,5171
2010,Z,66030034,30–34 let,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,2745,4923
2010,Z,66030034,30–34 let,CZ0511,Česká Lípa,CZ051,Liberecký kraj,2588,4282
2010,Z,66030034,30–34 let,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,2317,3693
2010,Z,66030034,30–34 let,CZ0513,Liberec,CZ051,Liberecký kraj,4212,7036
2010,Z,66030034,30–34 let,CZ0514,Semily,CZ051,Liberecký kraj,1808,2792
2010,Z,66030034,30–34 let,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj,4211,6691
2010,Z,66030034,30–34 let,CZ0522,Jičín,CZ052,Královéhradecký kraj,1997,2965
2010,Z,66030034,30–34 let,CZ0523,Náchod,CZ052,Královéhradecký kraj,2739,4179
