"rok","pohlavi","vek_kod","vek_nazev","okres_lau_kod","okres_nazev","kraj_nuts_kod","kraj_nazev","pocet_vysetreni"
"2010","Z",66025000.0,"25–29 let","CZ0532","Pardubice","CZ053","Pardubicky kraj",3821.0
"2010","Z",66025000.0,"25–29 let","CZ0533","Svitavy","CZ053","Pardubicky kraj",2057.0
"2010","Z",66025000.0,"25–29 let","CZ0534","Usti nad Orlici","CZ053","Pardubicky kraj",2609.0
"2010","Z",66025000.0,"25–29 let","CZ0631","Havlickuv Brod","CZ063","Vysocina",1863.0
"2010","Z",66025000.0,"25–29 let","CZ0632","Jihlava","CZ063","Vysocina",2346.0
"2010","Z",66025000.0,"25–29 let","CZ0633","Pelhrimov","CZ063","Vysocina",1442.0
"2010","Z",66025000.0,"25–29 let","CZ0634","Trebic","CZ063","Vysocina",2217.0
"2010","Z",66025000.0,"25–29 let","CZ0635","Zdar nad Sazavou","CZ063","Vysocina",2336.0
"2010","Z",66025000.0,"25–29 let","CZ0641","Blansko","CZ064","Jihomoravsky kraj",2197.0
"2010","Z",66025000.0,"25–29 let","CZ0642","Brno-mesto","CZ064","Jihomoravsky kraj",9055.0
"2010","Z",66025000.0,"25–29 let","CZ0643","Brno-venkov","CZ064","Jihomoravsky kraj",5037.0
"2010","Z",66025000.0,"25–29 let","CZ0644","Breclav","CZ064","Jihomoravsky kraj",2417.0
"2010","Z",66025000.0,"25–29 let","CZ0645","Hodonin","CZ064","Jihomoravsky kraj",2542.0
"2010","Z",66025000.0,"25–29 let","CZ0646","Vyskov","CZ064","Jihomoravsky kraj",1963.0
"2010","Z",66025000.0,"25–29 let","CZ0647","Znojmo","CZ064","Jihomoravsky kraj",2407.0
"2010","Z",66025000.0,"25–29 let","CZ0711","Jesenik","CZ071","Olomoucky kraj",522.0
"2010","Z",66025000.0,"25–29 let","CZ0712","Olomouc","CZ071","Olomoucky kraj",5390.0
"2010","Z",66025000.0,"25–29 let","CZ0713","Prostejov","CZ071","Olomoucky kraj",2403.0
"2010","Z",66025000.0,"25–29 let","CZ0714","Prerov","CZ071","Olomoucky kraj",2321.0
"2010","Z",66025000.0,"25–29 let","CZ0715","Sumperk","CZ071","Olomoucky kraj",2280.0
"2010","Z",66025000.0,"25–29 let","CZ0721","Kromeriz","CZ072","Zlinsky kraj",2085.0
"2010","Z",66025000.0,"25–29 let","CZ0722","Uherske Hradiste","CZ072","Zlinsky kraj",2834.0
"2010","Z",66025000.0,"25–29 let","CZ0723","Vsetin","CZ072","Zlinsky kraj",2539.0
"2010","Z",66025000.0,"25–29 let","CZ0724","Zlin","CZ072","Zlinsky kraj",3928.0
"2010","Z",66025000.0,"25–29 let","CZ0801","Bruntal","CZ080","Moravskoslezsky kraj",1670.0
"2010","Z",66025000.0,"25–29 let","CZ0802","Frydek-Mistek","CZ080","Moravskoslezsky kraj",3835.0
"2010","Z",66025000.0,"25–29 let","CZ0803","Karvina","CZ080","Moravskoslezsky kraj",2228.0
"2010","Z",66025000.0,"25–29 let","CZ0804","Novy Jicin","CZ080","Moravskoslezsky kraj",2652.0
"2010","Z",66025000.0,"25–29 let","CZ0805","Opava","CZ080","Moravskoslezsky kraj",3211.0
"2010","Z",66025000.0,"25–29 let","CZ0806","Ostrava-mesto","CZ080","Moravskoslezsky kraj",5314.0
"2010","Z",66030000.0,"30–34 let","CZ0100","Praha","CZ010","Hlavni mesto Praha",32534.0
"2010","Z",66030000.0,"30–34 let","CZ0201","Benesov","CZ020","Stredocesky kraj",2457.0
"2010","Z",66030000.0,"30–34 let","CZ0202","Beroun","CZ020","Stredocesky kraj",2526.0
"2010","Z",66030000.0,"30–34 let","CZ0203","Kladno","CZ020","Stredocesky kraj",4505.0
"2010","Z",66030000.0,"30–34 let","CZ0204","Kolin","CZ020","Stredocesky kraj",2660.0
"2010","Z",66030000.0,"30–34 let","CZ0205","Kutna Hora","CZ020","Stredocesky kraj",1810.0
